ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
216.58.215.33,par21s17-in-f1.1e100.net,4,0.002095,1574956490.680536,1574956490.6805458,tcp
216.58.215.33,par21s17-in-f1.1e100.net,4,0.00026399999999999997,1574956490.6995177,1574956490.6995463,tcp
172.217.19.229,par21s11-in-f5.1e100.net,17,0.0044020000000000005,1574956481.4845798,1574956488.6882806,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000566,1574956490.809666,1574956490.8142054,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0016859999999999998,1574956491.0542567,1574956491.056859,tcp
216.58.204.97,par10s28-in-f97.1e100.net,2,0.00017099999999999998,1574956490.5779946,1574956490.5861423,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956491.0893853,1574956491.0939832,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00056,1574956491.391709,1574956491.3962662,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0012919999999999997,1574956491.6327627,1574956491.6349564,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00024399999999999997,1574956491.703445,1574956491.7035236,tcp
216.58.204.97,par10s28-in-f97.1e100.net,7,0.0008249999999999998,1574956491.2120209,1574956491.3411748,tcp
172.217.19.229,par21s11-in-f5.1e100.net,23,0.006472000000000001,1574956491.7189863,1574956492.638021,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0014509999999999998,1574956492.881759,1574956492.8850913,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.00026399999999999997,1574956492.930766,1574956492.9308033,tcp
216.58.204.133,par21s05-in-f5.1e100.net,66,0.07116599999999992,1574956479.3376212,1574956479.9640868,tcp
216.58.209.228,par10s29-in-f228.1e100.net,2,0.000148,1574956493.4395618,1574956493.444003,tcp
216.58.204.133,par21s05-in-f5.1e100.net,3,0.00035699999999999995,1574956493.395742,1574956493.400321,tcp
216.58.204.133,par21s05-in-f5.1e100.net,3,0.000322,1574956493.4709487,1574956493.4758725,tcp
216.58.209.228,par10s29-in-f228.1e100.net,3,0.0029259999999999998,1574956493.4617896,1574956493.471034,tcp
216.58.204.133,par21s05-in-f5.1e100.net,2,0.000178,1574956493.4946747,1574956493.4947283,tcp
216.58.209.228,par10s29-in-f228.1e100.net,3,0.000575,1574956493.491985,1574956493.5055075,tcp
216.58.209.228,par10s29-in-f228.1e100.net,2,0.000239,1574956493.5267813,1574956493.527159,tcp
216.58.209.228,par10s29-in-f228.1e100.net,2,0.000216,1574956493.5401711,1574956493.5401819,tcp
216.58.209.228,par10s29-in-f228.1e100.net,2,0.00013199999999999998,1574956493.553757,1574956493.5581534,tcp
216.58.204.133,par21s05-in-f5.1e100.net,2,0.001643,1574956494.2481732,1574956494.2482371,tcp
172.217.19.229,par21s11-in-f5.1e100.net,14,0.003888000000000001,1574956492.9383025,1574956493.605447,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000627,1574956496.7984364,1574956496.8029792,tcp
47.88.232.28,,2,0.000139,1574956498.793416,1574956498.793489,tcp
66.102.1.188,wb-in-f188.1e100.net,4,0.000511,1574956481.7219296,1574956481.8460433,tcp
172.217.19.229,par21s11-in-f5.1e100.net,9,0.0017349999999999998,1574956496.9222617,1574956497.068335,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.001031,1574956506.345824,1574956506.3503184,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000835,1574956506.3837762,1574956506.384118,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956506.4059343,1574956506.4059594,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.00013199999999999998,1574956506.4137855,1574956506.4138143,tcp
172.217.19.229,par21s11-in-f5.1e100.net,8,0.001144,1574956506.4350657,1574956506.4968584,tcp
172.217.19.229,par21s11-in-f5.1e100.net,14,0.0044480000000000006,1574956506.835436,1574956510.939232,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000596,1574956512.5406058,1574956512.5451307,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0014039999999999999,1574956512.8124263,1574956512.8162367,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000148,1574956516.8689713,1574956516.8735452,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000148,1574956516.8711526,1574956516.8756397,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.000936,1574956516.9118729,1574956516.9214911,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.000936,1574956516.9147763,1574956516.9247556,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000332,1574956516.9382248,1574956516.9460812,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000332,1574956516.9418097,1574956516.9505877,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000148,1574956516.9531152,1574956516.9578483,tcp
216.58.213.138,par21s03-in-f138.1e100.net,5,0.001997,1574956516.9716082,1574956516.9947302,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.000936,1574956517.0017343,1574956517.011638,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000332,1574956517.031803,1574956517.039871,tcp
216.58.213.138,par21s03-in-f138.1e100.net,5,0.001971,1574956517.0725718,1574956517.097455,tcp
216.58.213.138,par21s03-in-f138.1e100.net,7,0.002002,1574956516.9715598,1574956517.0505462,tcp
216.58.204.133,par21s05-in-f5.1e100.net,2,0.000148,1574956517.4719245,1574956517.4762948,tcp
216.58.204.133,par21s05-in-f5.1e100.net,3,0.0029479999999999997,1574956517.498741,1574956517.5085378,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.000148,1574956517.5318816,1574956517.5364192,tcp
216.58.213.170,par21s04-in-f170.1e100.net,3,0.004622,1574956517.557457,1574956517.5671456,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.00013199999999999998,1574956517.5832458,1574956517.5832634,tcp
216.58.204.133,par21s05-in-f5.1e100.net,5,0.001365,1574956517.5245967,1574956517.566133,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.000148,1574956517.6114106,1574956517.6161776,tcp
216.58.213.170,par21s04-in-f170.1e100.net,3,0.004621,1574956517.634429,1574956517.6441472,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.00013199999999999998,1574956517.6599965,1574956517.6600165,tcp
216.58.213.170,par21s04-in-f170.1e100.net,3,0.0011480000000000001,1574956517.5981266,1574956517.624593,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.000319,1574956517.884749,1574956517.8847585,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956512.893159,1574956512.8976135,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.002811,1574956518.236561,1574956518.2365823,tcp
216.58.213.170,par21s04-in-f170.1e100.net,3,0.001373,1574956517.6748943,1574956517.6960962,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.002359,1574956518.3326328,1574956518.3326983,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.00013199999999999998,1574956518.241062,1574956518.2410657,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0016669999999999999,1574956518.5882158,1574956518.589934,tcp
216.58.213.170,par21s04-in-f170.1e100.net,24,0.020253999999999998,1574956518.3372662,1574956519.6257062,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.00032199999999999997,1574956518.7006354,1574956518.7099166,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.003112,1574956548.203711,1574956548.2037754,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000198,1574956548.2082872,1574956548.2083077,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.00172,1574956548.5646064,1574956548.5671086,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.00026399999999999997,1574956548.6027596,1574956548.603901,tcp
216.58.213.170,par21s04-in-f170.1e100.net,7,0.0016240000000000002,1574956548.1609678,1574956548.3441255,tcp
172.217.19.229,par21s11-in-f5.1e100.net,34,0.013039999999999996,1574956548.6148474,1574956553.1015031,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000713,1574956556.1903226,1574956556.1948328,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.004179,1574956556.4614565,1574956556.4618866,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00039,1574956556.4640646,1574956556.4645638,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00020999999999999998,1574956556.590936,1574956556.5909765,tcp
172.217.19.229,par21s11-in-f5.1e100.net,16,0.005313000000000001,1574956556.6095138,1574956557.0299797,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000672,1574956557.1539545,1574956557.1584544,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.002078,1574956557.2354703,1574956557.2359328,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000369,1574956557.2391982,1574956557.23929,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00024399999999999997,1574956557.2554672,1574956557.2573502,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.0018059999999999999,1574956563.3188522,1574956563.3188972,tcp
172.217.19.229,par21s11-in-f5.1e100.net,11,0.0028730000000000006,1574956563.323407,1574956563.414368,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.0006709999999999999,1574956563.5045505,1574956563.509131,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0016049999999999999,1574956563.8133292,1574956563.8161125,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956563.8389165,1574956563.843382,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000566,1574956565.1368618,1574956565.141398,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001829,1574956565.2152736,1574956565.2156737,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000405,1574956565.216713,1574956565.2168205,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00024399999999999997,1574956565.2490075,1574956565.2583199,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000525,1574956565.459951,1574956565.4645123,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.002267,1574956565.5271602,1574956565.5275605,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000267,1574956565.5295923,1574956565.5297072,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00024399999999999997,1574956565.5458257,1574956565.5491858,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001955,1574956565.7089806,1574956565.7090116,tcp
185.176.27.18,,2,0.000108,1574956568.339663,1574956568.3397377,tcp
188.128.39.127,,2,0.000148,1574956570.8178642,1574956570.8179493,tcp
