ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00013199999999999998,1574956669.1306386,1574956669.1306684,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00013199999999999998,1574956669.1319797,1574956669.1320102,tcp
216.58.209.234,par10s29-in-f10.1e100.net,7,0.004509000000000001,1574956669.133577,1574956669.134105,tcp
216.58.209.234,par10s29-in-f10.1e100.net,3,0.0042450000000000005,1574956669.1355407,1574956669.136205,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00283,1574956669.1383407,1574956669.138382,tcp
216.58.209.234,par10s29-in-f10.1e100.net,31,0.03846899999999998,1574956669.1394732,1574956669.1537628,tcp
216.58.209.234,par10s29-in-f10.1e100.net,4,0.004311000000000001,1574956669.1552243,1574956669.1556547,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00283,1574956669.1571984,1574956669.1572464,tcp
216.58.209.234,par10s29-in-f10.1e100.net,3,0.0042450000000000005,1574956669.1586547,1574956669.159046,tcp
216.58.209.234,par10s29-in-f10.1e100.net,12,0.010235,1574956669.159787,1574956669.162641,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00013199999999999998,1574956669.1644063,1574956669.1644309,tcp
216.58.209.234,par10s29-in-f10.1e100.net,3,0.0042450000000000005,1574956669.1673348,1574956669.1676648,tcp
216.58.209.234,par10s29-in-f10.1e100.net,43,0.03926099999999995,1574956669.1684327,1574956669.1794865,tcp
216.58.209.234,par10s29-in-f10.1e100.net,3,0.0042450000000000005,1574956669.1810842,1574956669.1814475,tcp
216.58.209.234,par10s29-in-f10.1e100.net,24,0.05082299999999999,1574956669.1822069,1574956669.1906548,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00013199999999999998,1574956669.1921842,1574956669.1922052,tcp
216.58.209.234,par10s29-in-f10.1e100.net,6,0.0003959999999999999,1574956669.19234,1574956669.1926777,tcp
216.58.209.234,par10s29-in-f10.1e100.net,7,0.0004619999999999999,1574956669.1936746,1574956669.200913,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00013199999999999998,1574956669.211832,1574956669.2118413,tcp
216.58.209.234,par10s29-in-f10.1e100.net,6,0.0003959999999999999,1574956669.2119637,1574956669.212376,tcp
216.58.209.234,par10s29-in-f10.1e100.net,8,0.0005639999999999999,1574956669.216597,1574956669.218352,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000178,1574956669.1320314,1574956669.1364594,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.0042450000000000005,1574956669.3983948,1574956669.3989103,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00283,1574956669.4012523,1574956669.401294,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00283,1574956669.4036252,1574956669.4036596,tcp
216.58.204.129,par21s05-in-f1.1e100.net,3,0.000274,1574956669.0295026,1574956669.05402,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.004179,1574956669.405105,1574956669.4051123,tcp
216.58.213.138,par21s03-in-f138.1e100.net,4,0.005640000000000001,1574956669.4048412,1574956669.407143,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00013199999999999998,1574956669.4166758,1574956669.4184523,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00013199999999999998,1574956669.422541,1574956669.4228864,tcp
216.58.204.129,par21s05-in-f1.1e100.net,14,0.023856999999999996,1574956669.4061959,1574956669.414482,tcp
216.58.204.129,par21s05-in-f1.1e100.net,4,0.00026399999999999997,1574956669.427946,1574956669.4281654,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.4301333,1574956669.43015,tcp
216.58.204.129,par21s05-in-f1.1e100.net,5,0.0016790000000000004,1574956669.430619,1574956669.4314983,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00283,1574956669.4326787,1574956669.43272,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000178,1574956669.4279838,1574956669.4300697,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00283,1574956669.4347613,1574956669.4348066,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00283,1574956669.4368565,1574956669.4369183,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00283,1574956669.4388895,1574956669.438938,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00283,1574956669.4408653,1574956669.4409044,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00283,1574956669.4427996,1574956669.4428577,tcp
216.58.204.129,par21s05-in-f1.1e100.net,19,0.024280999999999997,1574956669.4470794,1574956669.4894748,tcp
216.58.204.129,par21s05-in-f1.1e100.net,3,0.000198,1574956669.526445,1574956669.5265145,tcp
216.58.204.129,par21s05-in-f1.1e100.net,4,0.00026399999999999997,1574956669.526756,1574956669.52684,tcp
216.58.204.129,par21s05-in-f1.1e100.net,3,0.000198,1574956669.5283337,1574956669.5284276,tcp
216.58.204.129,par21s05-in-f1.1e100.net,13,0.004905000000000001,1574956669.52927,1574956669.5298336,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.001527,1574956669.5307567,1574956669.5308156,tcp
216.58.204.129,par21s05-in-f1.1e100.net,106,0.142557,1574956669.5311272,1574956669.571279,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.57826,1574956669.57828,tcp
216.58.204.129,par21s05-in-f1.1e100.net,3,0.000198,1574956669.5784774,1574956669.578667,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.5797038,1574956669.579797,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.000156,1574956669.5843806,1574956669.5843928,tcp
216.58.204.129,par21s05-in-f1.1e100.net,4,0.00028799999999999995,1574956669.5844917,1574956669.5846741,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.584852,1574956669.58487,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.5851038,1574956669.585127,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.5856168,1574956669.5856555,tcp
216.58.204.129,par21s05-in-f1.1e100.net,5,0.00032999999999999994,1574956669.5857937,1574956669.58604,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.5876505,1574956669.58767,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.5878468,1574956669.5878727,tcp
216.58.204.129,par21s05-in-f1.1e100.net,3,0.000198,1574956669.5879936,1574956669.588129,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956669.5883174,1574956669.5883424,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00023799999999999998,1574956669.526691,1574956669.531092,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000547,1574956669.7023628,1574956669.7023678,tcp
