ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
157.240.1.23,xx-fbcdn-shv-01-lht6.fbcdn.net,3,0.000198,1574958312.1577866,1574958312.1579182,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.000148,1574958312.6643698,1574958312.669249,tcp
213.186.33.99,cdns.ovh.net,16,0.005420000000000001,1574958311.9807684,1574958312.4877994,udp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.001392,1574958312.7276702,1574958312.7326682,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,4,0.003524,1574958312.7234352,1574958312.7290936,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574958312.7464018,1574958312.7464314,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0009489999999999999,1574958312.7430742,1574958312.7480748,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.0006129999999999999,1574958312.7623444,1574958312.7803583,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,6,0.007397999999999998,1574958312.8362794,1574958312.8363483,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,7,0.0004739999999999999,1574958313.0106766,1574958313.0171642,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.002596,1574958313.0672553,1574958313.0672638,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,5,0.004905,1574958313.0757432,1574958313.0840588,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574958313.0919,1574958313.0919275,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,11,0.0011699999999999998,1574958312.8890293,1574958313.0662293,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,19,0.025099,1574958313.2369504,1574958313.3024042,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.000198,1574958313.3220835,1574958313.3221748,tcp
