ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
74.125.140.188,wq-in-f188.1e100.net,2,0.00013199999999999998,1574960293.7945895,1574960293.816134,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.000148,1574960294.02464,1574960294.0296204,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,4,0.0009419999999999999,1574960294.052465,1574960294.0578601,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,8,0.0009239999999999999,1574960294.0689948,1574960294.0880237,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,4,0.00029899999999999995,1574960294.128845,1574960294.1448143,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,5,0.0004679999999999999,1574960294.5000994,1574960294.5813234,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.0007279999999999999,1574960295.0242882,1574960295.0291471,tcp
213.186.33.99,cdns.ovh.net,2,0.000197,1574960293.578723,1574960293.6110032,udp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.0008109999999999999,1574960295.0420616,1574960295.0641239,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,22,0.0034000000000000002,1574960295.0961266,1574960295.280028,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0008609999999999999,1574960295.0772645,1574960295.1293654,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0006609999999999999,1574960295.550745,1574960295.5557964,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.0011829999999999998,1574960295.65955,1574960295.66516,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00188,1574960295.687995,1574960295.6880667,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000167,1574960295.6931348,1574960295.7439363,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0007509999999999999,1574960296.1294417,1574960296.1561947,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,8,0.010444,1574960296.2538064,1574960296.2539349,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.004128,1574960296.2586267,1574960296.2619033,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,14,0.006319999999999999,1574960296.2737522,1574960296.2803934,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,19,0.024186999999999997,1574960296.2835102,1574960296.296632,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00283,1574960296.301335,1574960296.301363,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,5,0.004377000000000001,1574960296.3020735,1574960296.303317,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,5,0.007075,1574960296.305882,1574960296.3085535,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.00026399999999999997,1574960296.322527,1574960296.3226306,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574960296.322854,1574960296.3228765,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,6,0.007141000000000001,1574960296.3274128,1574960296.3279867,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,12,0.022375999999999997,1574960296.330222,1574960296.338091,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,10,0.0033580000000000007,1574960296.3582497,1574960296.3648307,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,6,0.0030940000000000004,1574960296.368427,1574960296.3690612,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.005594,1574960296.3699949,1574960296.3724298,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,44,0.02051300000000001,1574960296.3759632,1574960296.3964164,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,11,0.010169,1574960296.3991547,1574960296.4053411,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0042450000000000005,1574960296.4072022,1574960296.4090607,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0070090000000000005,1574960296.4110284,1574960296.4127617,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,17,0.010565,1574960296.4145136,1574960296.420396,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0035570000000000003,1574960296.4216945,1574960296.4235272,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574960296.4382305,1574960296.4382517,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,5,0.00032999999999999994,1574960296.4383755,1574960296.4387326,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,7,0.0004619999999999999,1574960296.4409814,1574960296.4414163,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,15,0.0009899999999999998,1574960296.4430974,1574960296.447313,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.005528,1574960296.4888175,1574960296.488997,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0042450000000000005,1574960296.4896297,1574960296.491063,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,43,0.05821699999999999,1574960296.4925377,1574960296.5199387,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,4,0.00046399999999999995,1574960295.3438358,1574960295.4460583,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.00026399999999999997,1574960296.5238912,1574960296.5240784,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0042450000000000005,1574960296.5286791,1574960296.5293756,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.0014810000000000001,1574960296.5307937,1574960296.5311818,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.004311000000000001,1574960296.5322623,1574960296.5335948,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00283,1574960296.5359807,1574960296.5360396,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.002896,1574960296.5376909,1574960296.5381064,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.002896,1574960296.5393827,1574960296.5406232,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0042450000000000005,1574960296.5425422,1574960296.543305,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,22,0.032478999999999994,1574960296.544881,1574960296.5615075,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000156,1574960296.5657237,1574960296.565735,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574960296.5658846,1574960296.5659668,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.000198,1574960296.569014,1574960296.5691648,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0029620000000000002,1574960296.571336,1574960296.5716624,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574960296.5729706,1574960296.573001,tcp
